Var1,Freq,Old category,New category,Bot
- I have grown up with it,1,- I have grown up with it,"Nostalgia, familiarity, and comfort",
2,1,2,Other,Bot
A great public network,1,A great public network,Other,
a lot,1,a lot,Other,
A welcome respite from the constant parade of politcal ads during campaign season; calm reasoned reporting,1,A welcome respite from the constant parade of politcal ads during campaign season; calm reasoned reporting,"News exhibits political moderation, unbiasedness, or accuracy",
ABC and fox news,1,ABC and fox news,Other,
Above,1,Above,Other,
Access influence apparels,1,Access influence apparels,Other,
Accessibility to everyone in the community,1,Accessibility to everyone in the community,Range and diversity of programming,
Accuracy of the news,1,Accuracy of the news,"News exhibits political moderation, unbiasedness, or accuracy",
Accurate,1,Accurate,"News exhibits political moderation, unbiasedness, or accuracy",
Accurate and honest reporting.  Entertaining history lessons in disguise.  Artful encounters when I feel like everything is never going to be remotely like it was before.,1,Accurate and honest reporting.  Entertaining history lessons in disguise.  Artful encounters when I feel like everything is never going to be remotely like it was before.,"News exhibits political moderation, unbiasedness, or accuracy",
accurate in reporting the news,1,accurate in reporting the news,"News exhibits political moderation, unbiasedness, or accuracy",
Accurate information,1,Accurate information,"News exhibits political moderation, unbiasedness, or accuracy",
Accurate news,1,Accurate news,"News exhibits political moderation, unbiasedness, or accuracy",
Actually just the Quality,1,Actually just the Quality,High quality programming,
admin who,1,admin who,Other,
all,1,all,Other,
all ways have told the truth and fair,1,all ways have told the truth and fair,"News exhibits political moderation, unbiasedness, or accuracy",
Alway trust,1,Alway trust,"News exhibits political moderation, unbiasedness, or accuracy",
Always accurate,1,Always accurate,"News exhibits political moderation, unbiasedness, or accuracy",
Always has accurate reporting directed at my community from national and local viewpoints,1,Always has accurate reporting directed at my community from national and local viewpoints,"News exhibits political moderation, unbiasedness, or accuracy",
Always have,2,Always have,"Nostalgia, familiarity, and comfort",
Always very trusted service,1,Always very trusted service,"News exhibits political moderation, unbiasedness, or accuracy",
"Americans trust PBS more than any other government institution – why do you think that is? Please check all that applies. Off the top of your head, what are the main reasons you trust PBS? Please provide at least one answer.",1,"Americans trust PBS more than any other government institution – why do you think that is? Please check all that applies. Off the top of your head, what are the main reasons you trust PBS? Please provide at least one answer.",Other,
An all around station giving us what cannot be obtained elsewhere.,1,An all around station giving us what cannot be obtained elsewhere.,"Nostalgia, familiarity, and comfort",
Any,1,Any,Other,
"Anything I have ever watched on PBS has been non bias, truthful and I don't feel pressured to commit to this cause or that one.",1,"Anything I have ever watched on PBS has been non bias, truthful and I don't feel pressured to commit to this cause or that one.","News exhibits political moderation, unbiasedness, or accuracy",
aowsome,1,aowsome,Other,
appeals to all types of people,1,appeals to all types of people,Range and diversity of programming,
"Appears to show less bias to right or left, different races and provides programming meant for everyone",1,"Appears to show less bias to right or left, different races and provides programming meant for everyone","News exhibits political moderation, unbiasedness, or accuracy",
are accurate and reliable throughout your programming,1,are accurate and reliable throughout your programming,"News exhibits political moderation, unbiasedness, or accuracy",
Arthur,1,Arthur,A specific show or program,
Attractive,2,Attractive,Other,
Awesome,1,Awesome,Other,
"awesome, comfortable.",1,"awesome, comfortable.","Nostalgia, familiarity, and comfort",
"Basically, they are unbiased.",1,"Basically, they are unbiased.","News exhibits political moderation, unbiasedness, or accuracy",
bc it is a world wide news station for kids,1,bc it is a world wide news station for kids,Children's and educational programming,
Bc its funded by the public,1,Bc its funded by the public,Public funding,
Because I do,1,Because I do,Other,
Because I do lol,1,Because I do lol,Other,
Because i do.,1,Because i do.,Other,
Because I have been watching it for years now I have my kids watching it,1,Because I have been watching it for years now I have my kids watching it,"Nostalgia, familiarity, and comfort",
because I haven't yet seen a reason not to trust them.,1,because I haven't yet seen a reason not to trust them.,"News exhibits political moderation, unbiasedness, or accuracy",
BecauSe I just do,1,BecauSe I just do,Other,
because i like,1,because i like,Other,
Because i like it,1,Because i like it,Other,
Because I like it,1,Because I like it,Other,
Because i love it so much and it is good for me,1,Because i love it so much and it is good for me,Other,
Because I love the Children programming.,1,Because I love the Children programming.,Children's and educational programming,
Because i reallyikr,1,Because i reallyikr,Other,
Because I want to and I can,1,Because I want to and I can,Other,
Because is good,1,Because is good,Other,
Because is very useful,1,Because is very useful,Other,
Because it gets its funding from the public it has a responsibility to report without bias.,1,Because it gets its funding from the public it has a responsibility to report without bias.,Public funding,
Because it gives us accurate news.,1,Because it gives us accurate news.,"News exhibits political moderation, unbiasedness, or accuracy",
Because it has many new souces inside the whole package,1,Because it has many new souces inside the whole package,"News exhibits political moderation, unbiasedness, or accuracy",
Because it is a great and i want this type of things,1,Because it is a great and i want this type of things,Other,
because it is a very good news,1,because it is a very good news,"News exhibits political moderation, unbiasedness, or accuracy",
Because it is Made possible by financial support/contributions,1,Because it is Made possible by financial support/contributions,Public funding,
Because it is nonbias and well informed,1,Because it is nonbias and well informed,"News exhibits political moderation, unbiasedness, or accuracy",
Because it is one of the best,1,Because it is one of the best,High quality programming,
Because it is provide good service,1,Because it is provide good service,High quality programming,
Because it is publicly funded and not influenced by advertisers.,1,Because it is publicly funded and not influenced by advertisers.,Public funding,
Because it is publicly funded with local affiliates,1,Because it is publicly funded with local affiliates,Public funding,
Because it is really good Source we can find anything.,1,Because it is really good Source we can find anything.,"News exhibits political moderation, unbiasedness, or accuracy",
Because it is trusted. I can belive anything whatever PBS says. Always post update news.,1,Because it is trusted. I can belive anything whatever PBS says. Always post update news.,"News exhibits political moderation, unbiasedness, or accuracy",
Because it it good.,1,Because it it good.,Other,
because it not my problem,1,because it not my problem,Other,
Because it teaches kids,1,Because it teaches kids,Children's and educational programming,
Because it tries to remain as unbiased as posslble,1,Because it tries to remain as unbiased as posslble,"News exhibits political moderation, unbiasedness, or accuracy",
Because it’s been around for so long and it’s local,1,Because it’s been around for so long and it’s local,"Nostalgia, familiarity, and comfort",
Because it’s the only programming I trust for my grandchildren,1,Because it’s the only programming I trust for my grandchildren,Children's and educational programming,
Because its always been,1,Because its always been,Other,
Because its publicly funded and policed by many people.,1,Because its publicly funded and policed by many people.,Public funding,
because its the most trusted,1,because its the most trusted,Other,
because of the good system,1,because of the good system,Structure of the network,
Because of the management.,1,Because of the management.,Structure of the network,
Because of the quality news,1,Because of the quality news,"News exhibits political moderation, unbiasedness, or accuracy",
because of the service they provide,1,because of the service they provide,High quality programming,
Because of their transparancy and providing real information and news,1,Because of their transparancy and providing real information and news,"News exhibits political moderation, unbiasedness, or accuracy",
Because open,1,Because open,Other,
Because PBS is beholden to no one.,1,Because PBS is beholden to no one.,Structure of the network,
Because PBS Is The Best Brand for Trust they talk about Normal People Of Usa,1,Because PBS Is The Best Brand for Trust they talk about Normal People Of Usa,"Nostalgia, familiarity, and comfort",
because PBS is the big network,1,because PBS is the big network,Structure of the network,
because PBS is very wonderful.,1,because PBS is very wonderful.,Other,
