Var1,Freq,names.mytab.
Apps,32,Apps
"Apps,Broadcast television",9,"Apps,Broadcast television"
"Apps,Broadcast television,Cable television",5,"Apps,Broadcast television,Cable television"
"Apps,Broadcast television,Cable television,Newspaper",2,"Apps,Broadcast television,Cable television,Newspaper"
"Apps,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Broadcast television,Cable television,Radio,Newspaper",1,"Apps,Broadcast television,Cable television,Radio,Newspaper"
"Apps,Broadcast television,Cable television,Radio,Newspaper,Print Magazine",1,"Apps,Broadcast television,Cable television,Radio,Newspaper,Print Magazine"
"Apps,Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Broadcast television,Newspaper",1,"Apps,Broadcast television,Newspaper"
"Apps,Broadcast television,Newspaper,Print Magazine",1,"Apps,Broadcast television,Newspaper,Print Magazine"
"Apps,Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Broadcast television,Radio,Newspaper",1,"Apps,Broadcast television,Radio,Newspaper"
"Apps,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Broadcast television,Radio,Satellite Radio",2,"Apps,Broadcast television,Radio,Satellite Radio"
"Apps,Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Apps,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Apps,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Broadcast television,Word of mouth",1,"Apps,Broadcast television,Word of mouth"
"Apps,Cable television",7,"Apps,Cable television"
"Apps,Cable television,Newspaper",1,"Apps,Cable television,Newspaper"
"Apps,Cable television,Print Magazine",1,"Apps,Cable television,Print Magazine"
"Apps,Cable television,Radio",2,"Apps,Cable television,Radio"
"Apps,Cable television,Radio,Newspaper",1,"Apps,Cable television,Radio,Newspaper"
"Apps,Cable television,Radio,Newspaper,Print Magazine",1,"Apps,Cable television,Radio,Newspaper,Print Magazine"
"Apps,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Cable television,Radio,Satellite Radio",1,"Apps,Cable television,Radio,Satellite Radio"
"Apps,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",3,"Apps,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Cable television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Cable television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Cable television,Word of mouth",1,"Apps,Cable television,Word of mouth"
"Apps,Newspaper",2,"Apps,Newspaper"
"Apps,Online",38,"Apps,Online"
"Apps,Online,Broadcast television",15,"Apps,Online,Broadcast television"
"Apps,Online,Broadcast television,Cable television",14,"Apps,Online,Broadcast television,Cable television"
"Apps,Online,Broadcast television,Cable television,Newspaper",3,"Apps,Online,Broadcast television,Cable television,Newspaper"
"Apps,Online,Broadcast television,Cable television,Newspaper,Print Magazine",3,"Apps,Online,Broadcast television,Cable television,Newspaper,Print Magazine"
"Apps,Online,Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Apps,Online,Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Apps,Online,Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth,Not applicable",1,"Apps,Online,Broadcast television,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth,Not applicable"
"Apps,Online,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",6,"Apps,Online,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",5,"Apps,Online,Broadcast television,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Newspaper,Word of mouth",2,"Apps,Online,Broadcast television,Cable television,Newspaper,Word of mouth"
"Apps,Online,Broadcast television,Cable television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Online,Broadcast television,Cable television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Radio",5,"Apps,Online,Broadcast television,Cable television,Radio"
"Apps,Online,Broadcast television,Cable television,Radio,Newspaper",9,"Apps,Online,Broadcast television,Cable television,Radio,Newspaper"
"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",10,"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",15,"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Word of mouth",2,"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Print Magazine,Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",9,"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",5,"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Word of mouth",1,"Apps,Online,Broadcast television,Cable television,Radio,Newspaper,Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Print Magazine",1,"Apps,Online,Broadcast television,Cable television,Radio,Print Magazine"
"Apps,Online,Broadcast television,Cable television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Online,Broadcast television,Cable television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Broadcast television,Cable television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Print Magazine,Word of mouth",1,"Apps,Online,Broadcast television,Cable television,Radio,Print Magazine,Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio",1,"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio"
"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper",1,"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper"
"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine",1,"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine"
"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",11,"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",29,"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",4,"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",4,"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Word of mouth",2,"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Newspaper,Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",3,"Apps,Online,Broadcast television,Cable television,Radio,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)",5,"Apps,Online,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",5,"Apps,Online,Broadcast television,Cable television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Radio,Word of mouth",1,"Apps,Online,Broadcast television,Cable television,Radio,Word of mouth"
"Apps,Online,Broadcast television,Cable television,Satellite Radio,Newspaper",1,"Apps,Online,Broadcast television,Cable television,Satellite Radio,Newspaper"
"Apps,Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Print Magazine",2,"Apps,Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Print Magazine"
"Apps,Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",5,"Apps,Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Broadcast television,Cable television,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Satellite Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Online,Broadcast television,Cable television,Satellite Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Satellite Radio,Print Magazine,Word of mouth",1,"Apps,Online,Broadcast television,Cable television,Satellite Radio,Print Magazine,Word of mouth"
"Apps,Online,Broadcast television,Cable television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Online,Broadcast television,Cable television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Broadcast television,Cable television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)",13,"Apps,Online,Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",8,"Apps,Online,Broadcast television,Cable television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Newspaper",4,"Apps,Online,Broadcast television,Newspaper"
"Apps,Online,Broadcast television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Online,Broadcast television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",8,"Apps,Online,Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",3,"Apps,Online,Broadcast television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Online,Broadcast television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Broadcast television,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Radio",2,"Apps,Online,Broadcast television,Radio"
"Apps,Online,Broadcast television,Radio,Newspaper",4,"Apps,Online,Broadcast television,Radio,Newspaper"
"Apps,Online,Broadcast television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Apps,Online,Broadcast television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Apps,Online,Broadcast television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",6,"Apps,Online,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",6,"Apps,Online,Broadcast television,Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Online,Broadcast television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Broadcast television,Radio,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Radio,Satellite Radio",1,"Apps,Online,Broadcast television,Radio,Satellite Radio"
"Apps,Online,Broadcast television,Radio,Satellite Radio,Newspaper",1,"Apps,Online,Broadcast television,Radio,Satellite Radio,Newspaper"
"Apps,Online,Broadcast television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Online,Broadcast television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Apps,Online,Broadcast television,Radio,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Online,Broadcast television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",2,"Apps,Online,Broadcast television,Radio,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Radio,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Broadcast television,Radio,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)",5,"Apps,Online,Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",10,"Apps,Online,Broadcast television,Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Radio,Word of mouth",1,"Apps,Online,Broadcast television,Radio,Word of mouth"
"Apps,Online,Broadcast television,Satellite Radio",1,"Apps,Online,Broadcast television,Satellite Radio"
"Apps,Online,Broadcast television,Satellite Radio,Newspaper",1,"Apps,Online,Broadcast television,Satellite Radio,Newspaper"
"Apps,Online,Broadcast television,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Online,Broadcast television,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Broadcast television,Satellite Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",1,"Apps,Online,Broadcast television,Satellite Radio,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)",2,"Apps,Online,Broadcast television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Broadcast television,Satellite Radio,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok)",15,"Apps,Online,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",10,"Apps,Online,Broadcast television,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Broadcast television,Word of mouth",4,"Apps,Online,Broadcast television,Word of mouth"
"Apps,Online,Cable television",11,"Apps,Online,Cable television"
"Apps,Online,Cable television,Newspaper",7,"Apps,Online,Cable television,Newspaper"
"Apps,Online,Cable television,Newspaper,Print Magazine",1,"Apps,Online,Cable television,Newspaper,Print Magazine"
"Apps,Online,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",4,"Apps,Online,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Cable television,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)",9,"Apps,Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok)"
"Apps,Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth",1,"Apps,Online,Cable television,Newspaper,Social Media (e.g. Facebook, Instagram, TikTok),Word of mouth"
"Apps,Online,Cable television,Newspaper,Word of mouth",2,"Apps,Online,Cable television,Newspaper,Word of mouth"
"Apps,Online,Cable television,Radio",3,"Apps,Online,Cable television,Radio"
"Apps,Online,Cable television,Radio,Newspaper",2,"Apps,Online,Cable television,Radio,Newspaper"
"Apps,Online,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)",3,"Apps,Online,Cable television,Radio,Newspaper,Print Magazine,Social Media (e.g. Facebook, Instagram, TikTok)"
