Var1,Freq,names.mytab.
Accessibility to PBS,6,Accessibility to PBS
"Accessibility to PBS,Nostalgic connection with PBS",2,"Accessibility to PBS,Nostalgic connection with PBS"
"Accessibility to PBS,Not sure",1,"Accessibility to PBS,Not sure"
"Accessibility to PBS,Other:",1,"Accessibility to PBS,Other:"
Children’s programming,10,Children’s programming
"Children’s programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Children’s programming,Accessibility to PBS,Nostalgic connection with PBS"
"Children’s programming,Accessibility to PBS,Specific programs:",1,"Children’s programming,Accessibility to PBS,Specific programs:"
"Children’s programming,Not sure",1,"Children’s programming,Not sure"
"Children’s programming,Range of programming",1,"Children’s programming,Range of programming"
"Children’s programming,Range of programming,Nostalgic connection with PBS,Specific programs:",1,"Children’s programming,Range of programming,Nostalgic connection with PBS,Specific programs:"
"Children’s programming,Specific programs:",1,"Children’s programming,Specific programs:"
Local affiliates,3,Local affiliates
"Local affiliates,Children’s programming,Nostalgic connection with PBS",1,"Local affiliates,Children’s programming,Nostalgic connection with PBS"
"Local affiliates,Children’s programming,Range of programming,Accessibility to PBS",1,"Local affiliates,Children’s programming,Range of programming,Accessibility to PBS"
"Local affiliates,Not sure",1,"Local affiliates,Not sure"
"Local affiliates,Range of programming",1,"Local affiliates,Range of programming"
"Local affiliates,Range of programming,Accessibility to PBS",1,"Local affiliates,Range of programming,Accessibility to PBS"
"Local affiliates,Specific programs:",1,"Local affiliates,Specific programs:"
Non-profit,29,Non-profit
"Non-profit,Children’s programming",3,"Non-profit,Children’s programming"
"Non-profit,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:",1,"Non-profit,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:"
"Non-profit,Local affiliates,Accessibility to PBS",1,"Non-profit,Local affiliates,Accessibility to PBS"
"Non-profit,Local affiliates,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Non-profit,Local affiliates,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS"
"Non-profit,Nostalgic connection with PBS",4,"Non-profit,Nostalgic connection with PBS"
"Non-profit,Not influenced by advertisers",4,"Non-profit,Not influenced by advertisers"
"Non-profit,Not influenced by advertisers,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:",1,"Non-profit,Not influenced by advertisers,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:"
"Non-profit,Not influenced by advertisers,Children’s programming",1,"Non-profit,Not influenced by advertisers,Children’s programming"
"Non-profit,Not influenced by advertisers,Children’s programming,Specific programs:",1,"Non-profit,Not influenced by advertisers,Children’s programming,Specific programs:"
"Non-profit,Not influenced by advertisers,Local affiliates",1,"Non-profit,Not influenced by advertisers,Local affiliates"
"Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming",1,"Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming"
"Non-profit,Not influenced by advertisers,Other:",1,"Non-profit,Not influenced by advertisers,Other:"
"Non-profit,Not influenced by advertisers,Range of programming",1,"Non-profit,Not influenced by advertisers,Range of programming"
"Non-profit,Not influenced by government",2,"Non-profit,Not influenced by government"
"Non-profit,Not influenced by government,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Non-profit,Not influenced by government,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS"
"Non-profit,Not influenced by government,Local affiliates",1,"Non-profit,Not influenced by government,Local affiliates"
"Non-profit,Not influenced by government,Local affiliates,Range of programming",1,"Non-profit,Not influenced by government,Local affiliates,Range of programming"
"Non-profit,Not influenced by government,Not influenced by advertisers,Accessibility to PBS",1,"Non-profit,Not influenced by government,Not influenced by advertisers,Accessibility to PBS"
"Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS"
"Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS",1,"Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS"
"Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Non-profit,Not sure",4,"Non-profit,Not sure"
"Non-profit,Other:",1,"Non-profit,Other:"
"Non-profit,Range of programming",1,"Non-profit,Range of programming"
"Non-profit,Range of programming,Accessibility to PBS",1,"Non-profit,Range of programming,Accessibility to PBS"
"Non-profit,Specific programs:",1,"Non-profit,Specific programs:"
Nostalgic connection with PBS,3,Nostalgic connection with PBS
"Nostalgic connection with PBS,Specific programs: ,Not sure",1,"Nostalgic connection with PBS,Specific programs: ,Not sure"
Not influenced by advertisers,4,Not influenced by advertisers
"Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS",1,"Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS"
"Not influenced by advertisers,Children’s programming,Range of programming",1,"Not influenced by advertisers,Children’s programming,Range of programming"
"Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Not influenced by advertisers,Local affiliates,Children’s programming",1,"Not influenced by advertisers,Local affiliates,Children’s programming"
"Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming",3,"Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming"
"Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Nostalgic connection with PBS",1,"Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Nostalgic connection with PBS"
"Not influenced by advertisers,Local affiliates,Nostalgic connection with PBS",1,"Not influenced by advertisers,Local affiliates,Nostalgic connection with PBS"
"Not influenced by advertisers,Local affiliates,Range of programming",1,"Not influenced by advertisers,Local affiliates,Range of programming"
Not influenced by government,12,Not influenced by government
"Not influenced by government,Local affiliates",1,"Not influenced by government,Local affiliates"
"Not influenced by government,Local affiliates,Children’s programming,Range of programming,Specific programs:",1,"Not influenced by government,Local affiliates,Children’s programming,Range of programming,Specific programs:"
"Not influenced by government,Nostalgic connection with PBS",1,"Not influenced by government,Nostalgic connection with PBS"
